scheduler_email,username_std
Lead SD                               MISHY,chloe_wildd
Lead SD                               MISHY,delia
MOCHI,kassie_lee_free
MOCHI,kassie_lee_paid
PHIL,tessa_thomas
PHIL,francesca_le
PHIL,adrianna_rodriquez
PHIL,neenah_brown
LYN,scarlett_grace
LYN,aurora_benson
LYN,stormii
LYN,sophia_grace
PAM,ms_lexa_free
PAM,ms_lexa_paid
PAM,ann_grayson
PAM,tori_rae
JAY,grace_bennet_free
JAY,grace_bennet_paid
JAY,corvette_mikayla
JAY,isabella_kinsley
KEVIN A,mia_harper
KEVIN A,carmen_rose
KEVIN A,mia_foster
MAYETTE,jade_valentine
MAYETTE,jade_wilkinson
MAYETTE,lola_rivers
RONMAR,tessa_tan
RONMAR,isabelle_layla
RONMAR,kayleigh_ashford
RONMAR,amber_reid
Chu,olivia_hansley
Chu,taylor_wild
Chu,aspyn_hayes
AC,madison_summers
AC,talia
AC,selena
AC,cali_love
GEORGE,dianna_grace
GEORGE,kay_claire
GEORGE,alex_love
GEORGE,tessa_dove
STAN,leilaleighxo
STAN,bella_jade
STAN,april_may
STAN,iris_joy
STAN,kay
JOHN,scarlette_rose
JOHN,charlotterosevip
JOHN,audrey_belle
JOHN,nora_rhodes
JOHN,stella_corbet
